Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780108221,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780108222,20,,Aggregated,0.000000,0.000000,110,120,130,140,170,280,280,280,280,280,280,20,0,97,111.49690499878488,63.20229999255389,280.46569996513426,192.2
1780108223,40,,Aggregated,0.000000,0.000000,130,250,300,320,470,710,800,800,800,800,800,40,0,130,217.86849000054644,63.20229999255389,796.4176999521442,193.6
1780108224,60,,Aggregated,20.000000,0.000000,300,420,610,770,1000,1400,1500,1700,1700,1700,1700,65,0,300,426.1128569218832,63.20229999255389,1733.0099999671802,187.24615384615385
1780108225,80,,Aggregated,15.000000,0.000000,410,650,770,840,1100,1500,1900,2000,2000,2000,2000,82,0,410,540.9489585357866,63.20229999255389,2002.1164999925531,186.8048780487805
1780108226,100,,Aggregated,17.000000,0.000000,680,1000,1200,1400,1900,2000,2200,2200,2400,2400,2400,114,0,660,804.0738815769529,63.20229999255389,2424.5811000000685,184.68421052631578
1780108227,120,,Aggregated,18.000000,0.000000,970,1300,1500,1700,1900,2000,2200,2400,2400,2400,2400,159,0,970,988.5995817614526,63.20229999255389,2424.5811000000685,184.78616352201257
1780108228,140,,Aggregated,18.600000,0.000000,1000,1400,1600,1700,1900,2100,2200,2400,2700,2700,2700,167,0,1000,1033.8135419164585,63.20229999255389,2679.5927999773994,184.94011976047904
1780108229,160,,Aggregated,21.166667,0.000000,1100,1400,1700,1800,2100,2400,3100,3400,3600,3600,3600,178,0,1100,1142.891226404051,63.20229999255389,3648.4474999597296,183.98876404494382
1780108230,180,,Aggregated,23.142857,0.000000,1300,1700,1900,2000,3100,3500,3900,4000,4100,4100,4100,196,0,1300,1360.0522265306256,63.20229999255389,4073.2998000457883,182.71428571428572
1780108231,200,,Aggregated,21.125000,0.000000,1400,1800,2300,3100,3600,3900,4100,4200,4300,4300,4300,220,0,1400,1616.5798359095459,63.20229999255389,4306.933200045023,182.27272727272728
1780108232,220,,Aggregated,20.000000,0.000000,1700,2400,3400,3500,3900,4100,4300,4600,4900,4900,4900,256,0,1700,1935.3774996093307,63.20229999255389,4862.11159999948,182.75
1780108233,260,,Aggregated,19.800000,0.000000,1900,3400,3800,4000,4300,4600,4700,4800,4900,4900,4900,296,0,1900,2266.435534121843,63.20229999255389,4934.216999972705,182.51351351351352
1780108234,280,,Aggregated,22.100000,0.000000,3200,3900,4200,4300,4600,4700,4800,4800,5200,5200,5200,356,0,3100,2627.783819101424,63.20229999255389,5224.246400000993,182.8876404494382
1780108235,300,,Aggregated,23.300000,0.000000,3300,4000,4200,4300,4600,4700,4800,4900,5200,5200,5200,399,0,3300,2746.532651378988,63.20229999255389,5224.246400000993,182.78947368421052
1780108236,320,,Aggregated,25.200000,0.000000,3300,4000,4200,4300,4600,4700,4800,4800,5200,5200,5200,447,0,3300,2824.878684116915,63.20229999255389,5224.246400000993,182.84787472035794
1780108237,340,,Aggregated,29.000000,0.000000,3400,3900,4100,4300,4500,4600,4800,4800,5200,5200,5200,503,0,3400,2905.9198715713173,63.20229999255389,5224.246400000993,183.6441351888668
1780108238,360,,Aggregated,31.300000,0.000000,3400,3900,4100,4200,4500,4700,4800,4800,5200,5200,5200,532,0,3400,2942.9371077070605,63.20229999255389,5224.246400000993,183.8421052631579
1780108239,380,,Aggregated,34.000000,0.000000,3400,4000,4200,4300,4600,4700,4900,5000,5500,5500,5500,565,0,3400,3033.9870178765013,63.20229999255389,5461.54230000684,183.8
1780108240,400,,Aggregated,34.800000,0.000000,3500,4000,4200,4300,4600,4800,5000,5200,5700,5700,5700,582,0,3500,3086.8200121996115,63.20229999255389,5665.1751000317745,183.7422680412371
1780108241,420,,Aggregated,36.400000,0.000000,3700,4100,4400,4500,4900,5500,5700,5800,6000,6000,6000,626,0,3700,3260.5174832271423,63.20229999255389,5972.298399952706,183.81789137380193
1780108242,440,,Aggregated,38.700000,0.000000,3800,4200,4500,4600,5400,5700,5900,6100,6600,6600,6600,657,0,3800,3383.517054338051,63.20229999255389,6642.085500003304,183.83409436834094
1780108243,460,,Aggregated,38.700000,0.000000,3900,4300,4600,4800,5800,6100,6500,6600,6800,6800,6800,695,0,3900,3545.736123021883,63.20229999255389,6815.880800015293,183.9611510791367
1780108244,480,,Aggregated,38.700000,0.000000,3900,4400,4700,5000,5800,6300,6800,7000,7700,7700,7700,713,0,3900,3632.615665217625,63.20229999255389,7686.329099989962,183.92566619915848
1780108246,500,,Aggregated,39.600000,0.000000,4100,4600,5300,5700,6900,7600,7800,7900,8000,8000,8000,780,0,4100,3970.890009744042,63.20229999255389,7996.79040000774,183.94358974358974
1780108247,500,,Aggregated,35.100000,0.000000,4100,4800,5700,6200,7500,7800,8000,8000,8300,8300,8300,831,0,4100,4190.872683995541,63.20229999255389,8304.249899985734,183.9482551143201
