Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780107961,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780107962,20,,Aggregated,0.000000,0.000000,270,400,440,490,680,840,840,840,840,840,840,20,0,250,292.46229001146276,74.04089998453856,838.7608000193723,181.0
1780107963,40,,Aggregated,0.000000,0.000000,220,310,440,490,590,700,840,840,840,840,840,44,0,200,277.5690136371519,5.1586999907158315,838.7608000193723,182.27272727272728
1780107964,60,,Aggregated,9.000000,0.000000,210,310,440,490,590,800,840,970,970,970,970,75,0,210,279.73550266896683,4.612899967469275,971.4639000012539,183.8
1780107965,100,,Aggregated,15.500000,0.000000,320,480,500,530,670,820,990,1100,1200,1200,1200,114,0,310,359.0074807038866,4.612899967469275,1187.3954000184312,184.19298245614036
1780107966,120,,Aggregated,18.333333,0.000000,340,500,590,630,780,970,1200,1400,1700,1700,1700,161,0,340,405.17675652536013,4.612899967469275,1682.865499984473,184.91304347826087
1780107967,140,,Aggregated,20.500000,0.000000,400,510,620,670,800,990,1300,1500,1700,1700,1700,190,0,390,427.18550789745916,4.612899967469275,1682.865499984473,184.97894736842105
1780107968,160,,Aggregated,24.200000,0.000000,500,680,870,980,1200,1300,1500,1500,1700,1700,1700,236,0,490,565.3042847483509,4.612899967469275,1682.865499984473,185.5084745762712
1780107969,180,,Aggregated,28.000000,0.000000,580,870,1100,1100,1300,1500,1800,1900,2200,2200,2200,270,0,570,667.1012244471866,4.612899967469275,2154.418700025417,185.8740740740741
1780107970,200,,Aggregated,27.571429,0.000000,680,1100,1200,1300,1900,2000,2300,2300,2500,2500,2500,311,0,680,833.3456485556181,4.612899967469275,2508.059800020419,185.63665594855306
1780107971,220,,Aggregated,30.500000,0.000000,870,1200,1500,1600,2000,2300,2500,2500,3000,3000,3000,357,0,870,969.6037621871263,4.612899967469275,2979.7494999947958,185.7450980392157
1780107972,240,,Aggregated,30.333333,0.000000,990,1400,1600,1700,2300,2500,2700,3000,3400,3400,3400,387,0,990,1069.215582689849,4.612899967469275,3366.5446000522934,185.59431524547804
1780107973,260,,Aggregated,31.900000,0.000000,1100,1500,1700,2000,2300,2600,3100,3200,3500,3500,3500,416,0,1100,1162.2143343773553,4.612899967469275,3513.871100032702,185.57692307692307
1780107974,280,,Aggregated,35.300000,0.000000,1200,1600,2000,2100,2600,3500,3900,4100,4400,4400,4400,447,0,1200,1330.552712977464,4.612899967469275,4438.219000003301,184.97762863534675
1780107975,300,,Aggregated,36.800000,0.000000,1200,1700,2100,2300,3400,3900,4400,4500,4800,4800,4800,473,0,1200,1478.6344623702862,4.612899967469275,4823.742899985518,184.93657505285412
1780107976,320,,Aggregated,36.100000,0.000000,1400,2000,2500,3000,3900,4500,4600,4800,5200,5200,5200,517,0,1400,1716.7800303702368,4.612899967469275,5205.275499960408,185.1431334622824
1780107977,340,,Aggregated,37.100000,0.000000,1500,2300,3100,3700,4500,4800,4900,4900,5200,5200,5200,557,0,1500,1932.2710779201468,4.612899967469275,5233.965400024317,184.94614003590664
1780107978,360,,Aggregated,35.700000,0.000000,1600,2500,3700,4100,4800,4900,5200,5400,5700,5700,5700,591,0,1600,2112.367549918036,4.612899967469275,5735.545999952592,184.76649746192894
1780107979,380,,Aggregated,35.400000,0.000000,1800,3000,4100,4500,4900,5300,5500,5700,6000,6000,6000,626,0,1700,2297.7891132611553,4.612899967469275,6015.496300009545,184.9808306709265
1780107980,400,,Aggregated,37.100000,0.000000,1900,3600,4400,4800,5300,5700,6100,6300,6700,6700,6700,660,0,1900,2488.907923486973,4.612899967469275,6672.788200026844,184.8181818181818
1780107981,420,,Aggregated,35.100000,0.000000,2000,3800,4500,4900,5500,6100,6300,6500,7000,7000,7000,685,0,2000,2624.925186133257,4.612899967469275,6970.196500013117,184.61751824817517
1780107982,440,,Aggregated,35.700000,0.000000,2200,4300,4800,5200,5900,6300,6800,7100,8100,8100,8100,726,0,2200,2841.4935849882154,4.612899967469275,8115.901799988933,184.66391184573004
1780107983,460,,Aggregated,34.200000,0.000000,2500,4500,5100,5500,6200,6900,7300,7800,8100,8100,8100,771,0,2500,3081.4997769146917,4.612899967469275,8115.901799988933,184.6134889753567
1780107984,480,,Aggregated,32.400000,0.000000,2900,4800,5400,5900,6600,7200,7400,7700,8100,8100,8100,817,0,2900,3297.450457406279,4.612899967469275,8115.901799988933,184.78702570379437
1780107985,500,,Aggregated,32.700000,0.000000,3200,4900,5700,6100,6800,7200,7600,7900,8100,8100,8100,841,0,3200,3408.239967658574,4.612899967469275,8115.901799988933,184.81212841854935
1780107987,500,,Aggregated,36.400000,0.000000,3500,5000,5900,6200,7000,7400,7900,8000,8600,8600,8600,864,0,3500,3524.5156090286737,4.612899967469275,8609.492500021588,184.69444444444446
1780107988,500,,Aggregated,36.300000,0.000000,3700,5300,6100,6400,7200,7800,8100,8500,9000,9000,9000,892,0,3700,3667.2541526913765,4.612899967469275,9040.152899979148,184.51569506726457
